Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,423,species,Wood Duck,Aix sponsa,2,Reid Park,US-AZ,19-Mar-23,L227274,S131317633,,1
2,31227,species,American Pipit,Anthus rubescens,,Whitewater Draw WA,US-AZ,4-Feb-23,L168765,S127713267,,1
3,8336,species,Barn Owl,Tyto alba,,Whitewater Draw WA,US-AZ,4-Feb-23,L168765,S127713267,,1
4,6045,species,Western Sandpiper,Calidris mauri,,Whitewater Draw WA,US-AZ,4-Feb-23,L168765,S127713267,,1
5,6035,species,Least Sandpiper,Calidris minutilla,,Whitewater Draw WA,US-AZ,4-Feb-23,L168765,S127713267,,1
6,256,species,Ross's Goose,Anser rossii,,Whitewater Draw WA,US-AZ,4-Feb-23,L168765,S127713267,,1
7,6086,species,Wilson's Snipe,Gallinago delicata,2,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,5-Jan-23,L22086095,S125499348,,1
8,689,species,Bufflehead,Bucephala albeola,15,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,5-Jan-23,L22086095,S125499348,,1
9,468,species,Gadwall,Mareca strepera,29,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,5-Jan-23,L22086095,S125499348,,1
10,8845,species,Burrowing Owl,Athene cunicularia,1,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,5-Jan-23,L22086106,S125499394,,1
11,7370,species,Cattle Egret,Bubulcus ibis,7,"Baja California 4, Baja California, MX (32.255, -115.267)",MX-BCN,5-Jan-23,L22086116,S125499434,,1
12,700,species,Hooded Merganser,Lophodytes cucullatus,7,Campo Mosqueda--Camino Entrada,MX-BCN,5-Jan-23,L1049120,S125499967,,1
13,6437,species,California Gull,Larus californicus,5,Laguna Percebu,MX-BCN,4-Jan-23,L1364818,S125500002,,1
14,5737,species,Black-bellied Plover,Pluvialis squatarola,1,Laguna Percebu,MX-BCN,4-Jan-23,L1364818,S125500002,,1
15,6368,species,Bonaparte's Gull,Chroicocephalus philadelphia,1,Estero Guerrero Negro (Baja California),MX-BCN,3-Jan-23,L1071004,S125500477,,1
16,6054,species,Long-billed Dowitcher,Limnodromus scolopaceus,7,Estero Guerrero Negro (Baja California),MX-BCN,3-Jan-23,L1071004,S125500477,,1
17,291,species,Brant,Branta bernicla,100,Estero Guerrero Negro (Baja California),MX-BCN,3-Jan-23,L1071004,S125500477,,1
18,617,species,Redhead,Aythya americana,70,Playa de Requeson,MX-BCS,2-Jan-23,L1100000,S125245432,,1
19,1807,species,Least Grebe,Tachybaptus dominicus,1,Reserva Ecológica Estero de San José del Cabo,MX-BCS,31-Dec-22,L277480,S124978257,,1
20,451,species,Cinnamon Teal,Spatula cyanoptera,3,Reserva Ecológica Estero de San José del Cabo,MX-BCS,31-Dec-22,L277480,S124978257,,1
21,32674,species,California Towhee,Melozone crissalis,2,"Baja California Sur, MX (23.561, -109.871)",MX-BCS,29-Dec-22,L21961646,S124853278,,1
22,11586,species,Gilded Flicker,Colaptes chrysoides,1,"Baja California Sur, MX (23.561, -109.871)",MX-BCS,29-Dec-22,L21961646,S124853278,,1
23,6396,species,Laughing Gull,Leucophaeus atricilla,1,"Baja California Sur Ciudad Insurgentes - Puerto Adolfo López Mateos, Adolfo López Mateos, Baja California Sur, MX (25.194, -112.124)",MX-BCS,27-Dec-22,L21935264,S124723351,,1
24,6126,species,Greater Yellowlegs,Tringa melanoleuca,14,"Vía sin nombre, Baja California Sur, MX (25.546, -111.145)",MX-BCS,27-Dec-22,L21935298,S124723538,,1
25,26560,species,California Gnatcatcher,Polioptila californica,4,"Baja California Sur, MX (25.524, -111.078)",MX-BCS,26-Dec-22,L21925026,S124673112,,1
26,16542,species,Gray Flycatcher,Empidonax wrightii,1,Playa Santispac,MX-BCS,25-Dec-22,L473111,S124587635,,1
27,33340,species,Belding's Yellowthroat,Geothlypis beldingi,2,Oasis San Ignacio,MX-BCS,24-Dec-22,L354664,S124673237,,1
28,7384,species,Green Heron,Butorides virescens,2,Oasis San Ignacio,MX-BCS,24-Dec-22,L354664,S124673237,,1
29,4850,species,Xantus's Hummingbird,Basilinna xantusii,1,Oasis San Ignacio,MX-BCS,24-Dec-22,L354664,S124673237,,1
30,267,species,Greater White-fronted Goose,Anser albifrons,25,Oasis San Ignacio,MX-BCS,23-Dec-22,L354664,S124717063,,1
31,5835,species,Wilson's Plover,Charadrius wilsonia,2,Campo Archelon,MX-BCN,22-Dec-22,L2287646,S124431612,,1
32,5830,species,Snowy Plover,Charadrius nivosus,2,Campo Archelon,MX-BCN,22-Dec-22,L2287646,S124431612,,1
33,716,species,Red-breasted Merganser,Mergus serrator,33,Campo Archelon,MX-BCN,22-Dec-22,L2287646,S124431612,,1
34,27465,species,Gray Thrasher,Toxostoma cinereum,,Campo Archelon,MX-BCN,21-Dec-22,L2287646,S124431611,,1
35,477,species,American Wigeon,Mareca americana,,Río Colorado--Carretera 4,MX-BCN,20-Dec-22,L2065614,S124432211,,1
36,6440,species,Herring Gull,Larus argentatus,,El Golfo de Santa Clara (pueblo),MX-SON,20-Dec-22,L459791,S124327489,,1
37,32236,species,Rufous-winged Sparrow,Peucaea carpalis,5,"11655 East Camino Del Desierto, Tucson, Arizona, US (32.161, -110.742)",US-AZ,8-Oct-22,L12260655,S120284318,,1
38,26546,species,Blue-gray Gnatcatcher,Polioptila caerulea,5,"11655 East Camino Del Desierto, Tucson, Arizona, US (32.161, -110.742)",US-AZ,8-Oct-22,L12260655,S120284318,,1
41,11805,species,Prairie Falcon,Falco mexicanus,1,Portal--Willow Tank,US-AZ,2-Oct-22,L129123,S119887929,,1
43,4760,species,Calliope Hummingbird,Selasphorus calliope,1,"Portal, AZ private yard (not open to the public)",US-AZ,1-Oct-22,L9145680,S119855525,,1
44,3578,species,Common Poorwill,Phalaenoptilus nuttallii,3,"Portal, AZ private yard (not open to the public)",US-AZ,1-Oct-22,L9145680,S119855525,,1
45,8926,species,Spotted Owl,Strix occidentalis,2,Pinery Canyon,US-AZ,1-Oct-22,L129056,S119887881,,1
46,31835,species,Red Crossbill,Loxia curvirostra,1,Mt. Lemmon--upper,US-AZ,26-Aug-22,L127970,S117699732,,1
47,22065,species,Horned Lark,Eremophila alpestris,,Vermilion Cliffs--Condor Viewing Site,US-AZ,6-Aug-22,L835068,S116448028,,1
48,20765,species,Pinyon Jay,Gymnorhinus cyanocephalus,,Vermilion Cliffs--Condor Viewing Site,US-AZ,6-Aug-22,L835068,S116448028,,1
49,7543,species,California Condor,Gymnogyps californianus,6,Vermilion Cliffs--Condor Viewing Site,US-AZ,6-Aug-22,L835068,S116448028,,1
50,33498,species,Grace's Warbler,Setophaga graciae,,"Forest Service Road 248, Fredonia, Arizona, US (36.739, -112.214)",US-AZ,5-Aug-22,L20437964,S116404785,,1
51,7480,species,White-faced Ibis,Plegadis chihi,,Sage Creek Junction,US-UT,4-Aug-22,L1167046,S116373968,,1
52,32569,species,Savannah Sparrow,Passerculus sandwichensis,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,3-Aug-22,L3690518,S116373966,,1
53,32333,species,Brewer's Sparrow,Spizella breweri,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,3-Aug-22,L3690518,S116373966,,1
54,450,species,Blue-winged Teal,Spatula discors,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,3-Aug-22,L3690518,S116373966,,1
55,27553,species,Mountain Bluebird,Sialia currucoides,,Yellowstone NP--Old Faithful area,US-WY,2-Aug-22,L743130,S116373965,,1
56,1827,species,Red-necked Grebe,Podiceps grisegena,,Henrys Lake--North Parking Area,US-ID,1-Aug-22,L2264460,S116172847,,1
57,23704,species,Cliff Swallow,Petrochelidon pyrrhonota,,"U.s. Forest Service 209, Montana, US (44.901, -111.592)",US-MT,1-Aug-22,L20387025,S116166096,,1
58,20972,species,Black-billed Magpie,Pica hudsonia,,"Montana 359, Cardwell, Montana, US (45.802, -111.925)",US-MT,1-Aug-22,L20385583,S116166097,,1
59,32893,species,Western Meadowlark,Sturnella neglecta,,"Montana 69, Whitehall, Montana, US (45.899, -111.956)",US-MT,1-Aug-22,L20385385,S116448027,,1
60,3482,species,Common Nighthawk,Chordeiles minor,,"Montana 69, Whitehall, Montana, US (45.899, -111.956)",US-MT,1-Aug-22,L20385385,S116448027,,1
61,8062,species,Northern Goshawk,Accipiter gentilis,,"Unnamed Road, Boulder, Montana, US (46.348, -112.216)",US-MT,31-Jul-22,L20385421,S116448026,,1
