Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,31032,species,Western Yellow Wagtail,Motacilla flava,4,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
2,11742,species,Eurasian Hobby,Falco subbuteo,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
3,7531,species,Eurasian Spoonbill,Platalea leucorodia,50,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
4,7479,species,Glossy Ibis,Plegadis falcinellus,4,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
5,6367,species,Slender-billed Gull,Chroicocephalus genei,5,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
6,6127,species,Common Greenshank,Tringa nebularia,8,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
7,5962,species,Black-tailed Godwit,Limosa limosa,5,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
8,5749,species,Northern Lapwing,Vanellus vanellus,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
9,1771,species,Greater Flamingo,Phoenicopterus roseus,78,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150319442,,1
10,32132,species,Reed Bunting,Emberiza schoeniclus,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
11,30904,species,Spanish Sparrow,Passer hispaniolensis,,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
12,23729,species,Common House-Martin,Delichon urbicum,4,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
13,23564,species,Bank Swallow,Riparia riparia,10,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
14,23133,species,Moustached Warbler,Acrocephalus melanopogon,15,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
15,22313,species,Bearded Reedling,Panurus biarmicus,10,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
16,21769,species,Eurasian Penduline-Tit,Remiz pendulinus,7,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
17,7857,species,Eurasian Marsh-Harrier,Circus aeruginosus,3,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
18,7053,species,Black Stork,Ciconia nigra,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
19,5516,species,Little Crake,Zapornia parva,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
20,1830,species,Great Crested Grebe,Podiceps cristatus,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
21,1786,species,Little Grebe,Tachybaptus ruficollis,4,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
22,729,species,White-headed Duck,Oxyura leucocephala,2,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
23,444,species,Garganey,Spatula querquedula,1,ÖKA Sultansazlığı--Sultansazlığı MP,TR-38,20 Sep 2023,L2428049,S150316994,,1
24,30954,species,Eurasian Tree Sparrow,Passer montanus,3,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
25,28979,species,Common Redstart,Phoenicurus phoenicurus,5,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
26,27232,species,European Starling,Sturnus vulgaris,40,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
27,20526,species,Red-backed Shrike,Lanius collurio,1,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
28,8819,species,Little Owl,Athene noctua,1,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
29,8284,species,Long-legged Buzzard,Buteo rufinus,1,"Uzun Dere Caddesi, Göreme, Nevşehir, TR (38.64, 34.822)",TR-50,19 Sep 2023,L27167881,S150317003,,1
30,23587,species,Eurasian Crag-Martin,Ptyonoprogne rupestris,6,Göreme Tarihi MP--Paşabağ,TR-50,18 Sep 2023,L2394495,S150195073,,1
31,22266,species,Crested Lark,Galerida cristata,2,Göreme Tarihi MP--Pembe Vadi,TR-50,18 Sep 2023,L1887572,S150195140,,1
32,1856,species,Rock Pigeon,Columba livia,50,Göreme Tarihi MP--Pembe Vadi,TR-50,18 Sep 2023,L1887572,S150195140,,1
33,29034,species,Whinchat,Saxicola rubetra,2,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
34,23657,species,Red-rumped Swallow,Cecropis daurica,12,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
35,7340,species,Little Egret,Egretta garzetta,5,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
36,7316,species,Purple Heron,Ardea purpurea,1,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
37,6137,species,Common Redshank,Tringa totanus,10,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
38,6115,species,Common Sandpiper,Actitis hypoleucos,2,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
39,5380,species,Eurasian Moorhen,Gallinula chloropus,7,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
40,2033,species,Eurasian Collared-Dove,Streptopelia decaocto,3,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
42,29164,species,Isabelline Wheatear,Oenanthe isabellina,1,"Muğla, TR (36.664, 28.902)",TR-48,14 Sep 2023,L27077912,S149842894,,1
43,24317,species,Common Chiffchaff,Phylloscopus collybita,1,"Muğla, TR (36.664, 28.902)",TR-48,14 Sep 2023,L27077912,S149842894,,1
44,24716,species,Eurasian Blackcap,Sylvia atricapilla,1,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
45,10022,species,European Bee-eater,Merops apiaster,10,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
46,9547,species,Common Kingfisher,Alcedo atthis,1,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
47,24753,species,Lesser Whitethroat,Curruca curruca,1,"TR (36.64, 28.854)",TR-48,12 Sep 2023,L27062931,S149762221,,1
48,21450,species,Coal Tit,Periparus ater,4,"TR (36.64, 28.854)",TR-48,12 Sep 2023,L27062931,S149762221,,1
