Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,623,species,Ring-necked Duck,Aythya collaris,,Reid Park,US-AZ,19 Mar 2023,L227274,S131317633,,1
2,505,species,Mallard,Anas platyrhynchos,,Reid Park,US-AZ,19 Mar 2023,L227274,S131317633,,1
3,423,species,Wood Duck,Aix sponsa,2,Reid Park,US-AZ,19 Mar 2023,L227274,S131317633,,1
4,33303,species,Lucy's Warbler,Leiothlypis luciae,1,De Anza Trail--Tubac,US-AZ,18 Mar 2023,L234314,S131268478,,1
5,32601,species,Song Sparrow,Melospiza melodia,1,De Anza Trail--Tubac,US-AZ,18 Mar 2023,L234314,S131268478,,1
6,26787,species,Bewick's Wren,Thryomanes bewickii,1,De Anza Trail--Tubac,US-AZ,18 Mar 2023,L234314,S131268478,,1
7,21642,species,Bridled Titmouse,Baeolophus wollweberi,4,De Anza Trail--Tubac,US-AZ,18 Mar 2023,L234314,S131268478,,1
8,4797,species,Broad-billed Hummingbird,Cynanthus latirostris,1,De Anza Trail--Tubac,US-AZ,18 Mar 2023,L234314,S131268478,,1
9,33811,species,Northern Cardinal,Cardinalis cardinalis,6,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
10,32354,species,Lark Sparrow,Chondestes grammacus,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
11,32315,species,Chipping Sparrow,Spizella passerina,1,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
12,32236,species,Rufous-winged Sparrow,Peucaea carpalis,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
13,31945,species,Lesser Goldfinch,Spinus psaltria,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
14,26356,species,White-breasted Nuthatch,Sitta carolinensis,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
15,18729,species,Bell's Vireo,Vireo bellii,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
16,17032,species,Cassin's Kingbird,Tyrannus vociferans,3,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
17,8231,species,Zone-tailed Hawk,Buteo albonotatus,1,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
18,8199,species,Gray Hawk,Buteo plagiatus,2,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
19,8134,species,Common Black Hawk,Buteogallus anthracinus,8,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
20,8044,species,Cooper's Hawk,Accipiter cooperii,4,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
21,4752,species,Anna's Hummingbird,Calypte anna,1,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
22,2382,species,White-winged Dove,Zenaida asiatica,1,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268477,,1
23,32343,species,Black-throated Sparrow,Amphispiza bilineata,1,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
24,26573,species,Rock Wren,Salpinctes obsoletus,16,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
25,24702,species,Bushtit,Psaltriparus minimus,8,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
26,21652,species,Juniper Titmouse,Baeolophus ridgwayi,1,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
27,21121,species,Common Raven,Corvus corax,2,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
